ID,FirstName,LastName,BirthDate,BirthCountry,NBAStartYear,Height,Weight,College,Team
724,Bam,Adebayo,1997-07-18,USA,2017,6 ft 9 in,255,Kentucky,20
1018,Duncan,Robinson,1994-04-22,USA,2018,6 ft 7 in,215,Michigan,20
1775,Gabe,Vincent,1996-06-14,USA,2019,6 ft 3 in,200,California-Santa Barbara,20
1815,Haywood,Highsmith,1996-12-09,USA,2018,6 ft 4 in,220,Wheeling Jesuit,20
2051,Max,Strus,1996-03-28,USA,2019,6 ft 5 in,220,DePaul,20
1866,Tyler,Herro,2000-01-20,USA,2019,6 ft 5 in,195,Kentucky,20
2785,Omer,Yurtseven,1998-06-19,Turkey,2021,6 ft 11 in,275,Georgetown,20
2880,Marcus,Garrett,1998-11-09,USA,2021,6 ft 5 in,205,Kansas,20
327,Kyle,Lowry,1986-03-25,USA,2006,6 ft 0 in,196,Villanova,20
326,Kevin,Love,1988-09-07,USA,2008,6 ft 8 in,251,UCLA,20
86,Jimmy,Butler,1989-09-14,USA,2011,6 ft 7 in,230,Marquette,20
571,Cody,Zeller,1992-10-05,USA,2013, ft  in,,Indiana,20
131,Dewayne,Dedmon,1989-08-12,USA,2013,7 ft 0 in,245,Southern California,20
403,Victor,Oladipo,1992-05-04,USA,2013,6 ft 4 in,213,Indiana,20
225,Udonis,Haslem,1980-06-09,USA,2003,6 ft 8 in,235,Florida,20
