ID,FirstName,LastName,BirthDate,BirthCountry,NBAStartYear,Height,Weight,College,Team
383,Jamal,Murray,1997-02-23,Canada,2016,6 ft 3 in,215,Kentucky,9
753,Thomas,Bryant,1997-07-31,USA,2017,6 ft 10 in,248,Indiana,9
865,Davon,Reed,1995-06-11,USA,2017,6 ft 5 in,206,Miami,9
944,Bruce,Brown,1996-08-15,USA,2018,6 ft 4 in,202,Miami,9
1014,Michael,Porter Jr.,1998-06-29,USA,2019,6 ft 10 in,218,Missouri,9
2627,Zeke,Nnaji,2001-01-09,USA,2020,6 ft 9 in,240,Arizona,9
2816,Bones,Hyland,2000-09-14,USA,2021,6 ft 2 in,169,Virginia Commonwealth,9
207,Jeff,Green,1986-08-28,USA,2007,6 ft 8 in,235,Georgetown,9
286,DeAndre,Jordan,1988-07-21,USA,2008,6 ft 11 in,265,Texas A&M,9
488,Ish,Smith,1988-07-05,USA,2010,6 ft 0 in,175,Wake Forest,9
264,Reggie,Jackson,1990-04-16,USA,2011,6 ft 2 in,208,Boston College,9
89,Kentavious,Caldwell-Pope,1993-02-18,USA,2013,6 ft 5 in,204,Georgia,9
195,Aaron,Gordon,1995-09-16,USA,2014,6 ft 8 in,235,Arizona,9
279,Nikola,Jokic,1995-02-19,Serbia,2015,6 ft 11 in,284,Mega Basket,9
